no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1310,1,179830,0,30100,3780,0,27728,0,0,0,0,0,3156204
1311,1,179830,0,0,10513,440,1604,0,0,0,0,0,2567592
1312,1,179830,0,0,5040,0,48261,0,0,0,0,0,3056520
1313,1,179830,0,30100,3780,660,29074,0,0,0,0,0,3180276
1314,1,179830,0,0,0,0,51469,0,0,0,0,0,3034536
1315,1,179830,0,0,19835,1500,0,0,0,0,0,0,2672928
1316,1,179830,0,30100,3780,0,24262,0,0,0,0,0,3114612
1317,1,204526,0,0,13069,3600,58400,0,0,0,0,0,3649656
1318,1,179830,0,0,28819,0,8020,0,0,0,0,0,2858976
1319,1,193060,0,30100,11591,0,15498,0,0,0,0,0,3280992
1320,1,224322,15600,15300,4536,220,10005,0,0,0,0,0,3585276
1321,1,217756,0,0,9833,0,7772,0,0,0,0,0,3137892
1322,1,179830,0,0,9956,880,1604,0,0,0,0,0,2566188
1323,1,179830,0,30100,3780,0,0,0,0,0,0,0,2823468
1324,1,179830,0,0,9575,0,3208,0,0,0,0,0,2570304
1325,1,179830,0,0,22424,0,3208,0,0,0,0,0,2724492
1326,1,179830,29600,30100,0,0,32282,0,0,0,0,0,3563316
1327,1,235592,14000,15300,17393,220,4204,0,0,0,0,0,3799920
1328,1,179830,0,30100,3780,0,24262,0,0,0,0,0,3114612
1329,1,161014,0,0,17922,0,8616,0,0,0,0,0,2482476
1330,1,179830,0,0,19326,0,10008,0,0,0,0,0,2768916
1331,1,179830,0,0,10020,0,8020,0,0,0,0,0,2633388
1332,1,179830,0,0,16462,0,9624,0,0,0,0,0,2729940
1333,1,179830,0,0,3025,0,30678,0,0,0,0,0,2821344
1334,1,179830,0,0,11046,0,0,0,0,0,0,0,2549460
1335,1,179830,0,0,20379,0,0,0,0,0,0,0,2661456
1336,1,151312,0,0,21282,0,0,0,0,0,0,0,2289012
1337,1,164836,0,0,37526,0,0,0,0,0,0,0,2665704
1338,1,179830,0,0,15762,0,0,0,0,0,0,0,2606052
1339,8,415233,21800,15300,5000,0,0,0,79515,0,0,0,7185996
1340,5,322856,0,0,7560,0,17280,0,0,0,0,0,4637256
1341,3,239008,0,0,18444,14000,0,0,0,0,398334,179090,4179008
1342,3,239008,0,0,9800,16980,20212,0,0,0,0,0,3997248
1343,3,239008,0,0,12200,14700,2388,0,0,0,398334,179090,4362224
1344,3,239008,0,0,5000,14700,21747,0,0,0,398334,179090,4508132
1345,3,239008,0,0,12200,14000,21747,0,0,0,398334,179090,4586132
1346,3,239008,0,0,7400,13300,16206,0,0,0,398334,179090,4453640
1347,3,239008,0,0,19400,1800,0,0,0,0,398334,179090,4044080
1348,3,239008,0,0,17000,16460,11172,0,0,0,0,0,3968928
1349,3,239008,0,0,9833,0,4606,0,0,0,398334,179090,3962948
1350,3,239008,0,0,5000,14000,0,0,0,0,398334,179090,4238768
1351,3,239008,0,0,14600,15760,15948,0,0,0,0,0,3989040
1352,3,239008,0,0,9800,14000,0,0,0,0,398334,179090,4296368
1353,3,239008,0,0,2900,1800,0,0,0,0,398334,179090,3846080
1354,3,239008,0,0,5000,14000,0,0,0,0,398334,179090,4238768
1355,3,239008,0,0,5000,14000,16206,0,0,0,0,0,3855816
1356,3,239008,0,0,0,0,78884,0,0,0,355504,92092,4606460
1357,3,239008,0,0,2900,15760,11172,0,0,0,0,0,3791328
1358,3,239008,0,0,2900,8000,0,0,0,0,398334,179090,3920480
1359,3,239008,0,0,75708,14000,0,0,0,0,398334,179090,4866176
1360,3,239008,0,0,2900,12600,6652,0,0,0,398334,179090,4276592
1361,3,239008,0,0,9800,0,22688,0,0,0,398334,179090,4179536
1362,3,239008,0,0,17136,1800,2132,0,0,0,0,0,3465072
1363,3,239008,0,0,14106,4070,0,0,0,0,398334,179090,4007792
